store_id,store_name,total_v
S03,Wellcome Zhongzheng,15.0
S04,PX Mart Songshan,18.4
S05,Carrefour Zhongshan,6.6
S06,RT-Mart Xinyi,40.0
S07,Simple Mart Daan,13.2
S08,OK Mart Zhongzheng,39.1
S11,7-Eleven Xinyi,22.3
S12,Wellcome Daan,7.1
S13,PX Mart Zhongzheng,14.5
S15,Simple Mart Zhongshan,28.8
S17,Hi-Life Daan,36.3
S19,7-Eleven Songshan,29.8
S20,Wellcome Zhongshan,22.6
S21,PX Mart Xinyi,12.1
S22,RT-Mart Daan,33.2
S23,Simple Mart Zhongzheng,10.2
S24,OK Mart Songshan,20.7
S25,Hi-Life Zhongshan,13.2
S26,FamilyMart Xinyi North,33.0
S27,7-Eleven Daan East,22.7
S28,Wellcome Songshan,5.5
S30,Carrefour Xinyi,34.6
S31,Simple Mart Songshan,38.3
S32,OK Mart Daan,37.8
S33,Hi-Life Zhongzheng,13.4
S34,FamilyMart Songshan,28.6
S35,7-Eleven Zhongzheng,21.2
S36,Wellcome Xinyi,27.4
S37,PX Mart Zhongshan,29.2
S38,RT-Mart Zhongzheng,18.2
S39,Simple Mart Xinyi,11.8
S40,OK Mart Zhongshan,32.9
S41,Hi-Life Xinyi,30.0
S42,FamilyMart Daan South,37.9
S44,Wellcome Daan South,33.3
S45,PX Mart Songshan East,30.0
S47,Simple Mart Daan North,24.4
S48,OK Mart Xinyi East,38.5
S49,Hi-Life Songshan West,19.1
S50,FamilyMart Zhongshan South,19.7
