store_id,store_name,total_v
S02,7-Eleven Daan,39.2
S03,Wellcome Zhongzheng,26.3
S04,PX Mart Songshan,33.1
S05,Carrefour Zhongshan,35.5
S06,RT-Mart Xinyi,36.6
S07,Simple Mart Daan,20.1
S08,OK Mart Zhongzheng,39.4
S09,Hi-Life Songshan,38.9
S11,7-Eleven Xinyi,26.3
S12,Wellcome Daan,38.0
S13,PX Mart Zhongzheng,9.7
S14,Carrefour Songshan,22.3
S15,Simple Mart Zhongshan,38.6
S16,OK Mart Xinyi,12.8
S17,Hi-Life Daan,27.4
S19,7-Eleven Songshan,14.4
S21,PX Mart Xinyi,28.7
S22,RT-Mart Daan,12.6
S23,Simple Mart Zhongzheng,32.0
S24,OK Mart Songshan,21.1
S25,Hi-Life Zhongshan,11.0
S26,FamilyMart Xinyi North,38.7
S28,Wellcome Songshan,30.9
S29,PX Mart Daan,37.0
S30,Carrefour Xinyi,33.7
S31,Simple Mart Songshan,18.2
S32,OK Mart Daan,39.0
S33,Hi-Life Zhongzheng,22.5
S36,Wellcome Xinyi,15.8
S38,RT-Mart Zhongzheng,18.7
S41,Hi-Life Xinyi,7.8
S42,FamilyMart Daan South,26.8
S43,7-Eleven Zhongshan West,22.7
S44,Wellcome Daan South,29.5
S45,PX Mart Songshan East,29.7
S46,Carrefour Daan,27.6
S47,Simple Mart Daan North,22.5
S48,OK Mart Xinyi East,27.2
S49,Hi-Life Songshan West,26.6
S50,FamilyMart Zhongshan South,12.9
