store_id,store_name,total_v
101,Store A,16
102,Store B,28
104,Store D,28
106,Store F,17
107,Store G,6
112,Store L,21
124,Store X,5
126,Store Z,9
128,Store B1,11
132,Store F1,14
133,Store G1,8
134,Store H1,17
135,Store I1,18
137,Store K1,16
139,Store M1,19
143,Store Q1,24
144,Store R1,14
146,Store T1,15
149,Store W1,25
154,Store B2,15
162,Store J2,6
174,Store V2,13
175,Store W2,19
177,Store Y2,20
193,Store O3,10
195,Store Q3,21
197,Store S3,12
198,Store T3,22
200,Store V3,23
202,Store X3,5
207,Store C4,11
208,Store D4,30
210,Store F4,16
212,Store H4,22
213,Store I4,11
228,Store X4,20
230,Store Z4,29
231,Store A5,18
236,Store F5,27
238,Store H5,30
241,Store K5,16
248,Store R5,8
258,Store B6,26
261,Store E6,6
262,Store F6,8
268,Store L6,16
273,Store Q6,11
295,Store M7,6
298,Store P7,16
301,Store S7,22
303,Store U7,30
311,Store C8,26
312,Store D8,27
321,Store M8,5
332,Store X8,15
335,Store A9,21
343,Store I9,21
352,Store R9,30
366,Store F10,17
381,Store U10,6
382,Store V10,9
384,Store X10,30
390,Store D11,17
391,Store E11,24
396,Store J11,17
399,Store M11,20
