store_id,store_name,total_v
101,Store A,26
102,Store B,27
105,Store E,13
108,Store H,13
109,Store I,5
110,Store J,25
113,Store M,19
115,Store O,30
119,Store S,8
121,Store U,13
127,Store A1,8
128,Store B1,15
136,Store J1,28
139,Store M1,7
140,Store N1,21
143,Store Q1,21
149,Store W1,6
152,Store Z1,26
154,Store B2,10
155,Store C2,7
158,Store F2,10
165,Store M2,24
171,Store S2,19
174,Store V2,30
190,Store L3,9
193,Store O3,18
197,Store S3,29
208,Store D4,28
211,Store G4,22
212,Store H4,19
216,Store L4,19
221,Store Q4,20
222,Store R4,14
223,Store S4,13
225,Store U4,20
231,Store A5,27
234,Store D5,28
241,Store K5,6
242,Store L5,18
253,Store W5,6
261,Store E6,11
266,Store J6,28
268,Store L6,30
269,Store M6,16
274,Store R6,11
278,Store V6,22
279,Store W6,29
284,Store B7,13
300,Store R7,8
301,Store S7,5
302,Store T7,16
307,Store Y7,11
321,Store M8,6
325,Store Q8,13
330,Store V8,20
331,Store W8,14
333,Store Y8,13
334,Store Z8,11
348,Store N9,24
377,Store Q10,20
386,Store Z10,8
390,Store D11,30
